"","combo","Wang","ID1","ID2","age1","amg1","age2","amg2","same.amg.yn","age.dif","same.age.yn"
"415","DYERHI",-0.1012,"DYE","RHI",9.96438356164384,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",1.16986301369863,"Same Age Class"
"416","DYERHI",-0.1012,"DYE","RHI",9.96438356164384,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",1.16986301369863,"Same Age Class"
"417","GHEHAS",-0.101,"GHE","HAS",8.86301369863014,"AMG3",7.68219178082192,"AMG8","Between All-Male Groups",1.18082191780822,"Same Age Class"
"418","GHEHAS",-0.101,"GHE","HAS",8.86301369863014,"AMG3",7.68219178082192,"AMG8","Between All-Male Groups",1.18082191780822,"Same Age Class"
"419","SHOSMA",-0.0998,"SHO","SMA",8.25479452054794,"AMG4",7.75616438356164,"AMG4","Within All-Male Group",0.498630136986299,"Same Age Class"
"420","SHOSMA",-0.0998,"SHO","SMA",8.25479452054794,"AMG4",7.75616438356164,"AMG4","Within All-Male Group",0.498630136986299,"Same Age Class"
"421","OUZRAN",-0.0995,"OUZ","RAN",8.11506849315069,"AMG2",8.93150684931507,"AMG8","Between All-Male Groups",0.816438356164381,"Same Age Class"
"422","OUZRAN",-0.0995,"OUZ","RAN",8.11506849315069,"AMG2",8.93150684931507,"AMG8","Between All-Male Groups",0.816438356164381,"Same Age Class"
"423","ERGVOD",-0.0989,"ERG","VOD",8.71506849315069,"AMG6",7.86575342465753,"AMG2","Between All-Male Groups",0.84931506849316,"Same Age Class"
"424","ERGVOD",-0.0989,"ERG","VOD",8.71506849315069,"AMG6",7.86575342465753,"AMG2","Between All-Male Groups",0.84931506849316,"Same Age Class"
"425","DGUERG",-0.098,"DGU","ERG",10.4630136986301,"AMG2",8.71506849315069,"AMG6","Between All-Male Groups",1.74794520547941,"Different Age Class"
"426","DGUERG",-0.098,"DGU","ERG",10.4630136986301,"AMG2",8.71506849315069,"AMG6","Between All-Male Groups",1.74794520547941,"Different Age Class"
"427","DUMHAS",-0.0962,"DUM","HAS",10.6794520547945,"AMG4",7.68219178082192,"AMG8","Between All-Male Groups",2.99726027397258,"Different Age Class"
"428","DUMHAS",-0.0962,"DUM","HAS",10.6794520547945,"AMG4",7.68219178082192,"AMG8","Between All-Male Groups",2.99726027397258,"Different Age Class"
"429","HASKRO",-0.0958,"HAS","KRO",7.68219178082192,"AMG8",9.33424657534247,"AMG4","Between All-Male Groups",1.65205479452055,"Different Age Class"
"430","HASKRO",-0.0958,"HAS","KRO",7.68219178082192,"AMG8",9.33424657534247,"AMG4","Between All-Male Groups",1.65205479452055,"Different Age Class"
"431","RANZET",-0.0956,"RAN","ZET",8.93150684931507,"AMG8",12.8164383561644,"AMG5","Between All-Male Groups",3.88493150684933,"Different Age Class"
"432","RANZET",-0.0956,"RAN","ZET",8.93150684931507,"AMG8",12.8164383561644,"AMG5","Between All-Male Groups",3.88493150684933,"Different Age Class"
"433","MAYRHI",-0.0951,"MAY","RHI",10.213698630137,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",1.41917808219179,"Same Age Class"
