"","id1","id2","unit","total_focals","all_groom","all_approach","all_leave","all_threat","all_nasty","all_fear","all_kiss","all_wish","all_mount","all_vg","all_vt","all_vf","focal_hrs"
"45","DYE","EAG","AMG6",107,5.60747663551402,0.785046728971963,0.672897196261682,0.0747663551401869,0,0.0373831775700935,0.0747663551401869,0.448598130841121,1.00934579439252,3.85046728971963,0,0,26.75
"46","DYE","EDG","AMG6",69,1.21739130434783,0.115942028985507,0.115942028985507,0.0579710144927536,0.0579710144927536,0,0.231884057971014,0.0579710144927536,0.579710144927536,1.04347826086957,0.0579710144927536,0,17.25
"47","DYE","EGG","AMG6",146,3.45205479452055,0.383561643835616,0.328767123287671,0.0821917808219178,0.0273972602739726,0.0547945205479452,0.164383561643836,0.0821917808219178,0.520547945205479,2.43835616438356,0.0273972602739726,0,36.5
"48","DYE","ERG","AMG6",131,8.54961832061069,1.12977099236641,1.09923664122137,0.0916030534351145,0.0916030534351145,0.122137404580153,0.458015267175573,0.458015267175573,1.46564885496183,6.38167938931298,0.0916030534351145,0.0305343511450382,32.75
"49","DYE","MAY","AMG6",117,11.965811965812,0.581196581196581,0.786324786324786,0.239316239316239,0.0683760683760684,0,0.683760683760684,0.41025641025641,1.60683760683761,5.91452991452991,0.170940170940171,0,29.25
"50","EAG","EDG","AMG6",67,4.05970149253731,0.716417910447761,0.417910447761194,0,0.298507462686567,0,0.119402985074627,0.119402985074627,0.656716417910448,2.92537313432836,0,0,16.75
"51","EAG","EGG","AMG6",104,6.53846153846154,0.923076923076923,1.15384615384615,0,0.115384615384615,0,0.269230769230769,0.230769230769231,0.576923076923077,3.73076923076923,0,0,26
"52","EAG","ERG","AMG6",98,8.16326530612245,0.73469387755102,0.857142857142857,0,0.0408163265306122,0.122448979591837,0.408163265306122,0.448979591836735,1.55102040816327,5.59183673469388,0,0,24.5
"53","EAG","MAY","AMG6",87,2.25287356321839,0.919540229885057,0.827586206896552,0,0,0,0.0459770114942529,0.137931034482759,0.413793103448276,1.24137931034483,0,0,21.75
"54","EDG","EGG","AMG6",69,7.07246376811594,1.10144927536232,0.927536231884058,0.0579710144927536,0,0,0.927536231884058,0.289855072463768,0.173913043478261,3.47826086956522,0.0579710144927536,0,17.25
"55","EDG","ERG","AMG6",63,4.95238095238095,0.380952380952381,0.507936507936508,0,0,0,0.507936507936508,0.253968253968254,0.634920634920635,2.22222222222222,0,0,15.75
"56","EDG","MAY","AMG6",69,10.8405797101449,0.811594202898551,0.63768115942029,0,0,0,0.521739130434783,0.289855072463768,0.811594202898551,4.28985507246377,0,0,17.25
