Date,Observer,Time,Subject,Unit,Sex,Status,State,Social,Recipient
1/5/11,DAVID,11:34:31 AM,DIK,K,M,BACHELOR,END,,
1/8/11,DAVID,9:19:58 AM,DIK,K,M,BACHELOR,START,,
1/8/11,DAVID,9:20:00 AM,DIK,K,M,BACHELOR,F,,
1/8/11,DAVID,9:22:49 AM,DIK,K,M,BACHELOR,,VG2VG1,SAM
1/8/11,DAVID,9:26:58 AM,DIK,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:31:49 AM,DIK,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:33:40 AM,DIK,K,M,BACHELOR,,VG2VG1,MEA
1/8/11,DAVID,9:35:17 AM,DIK,K,M,BACHELOR,,VG1VY1,
1/8/11,DAVID,9:35:35 AM,DIK,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:35:42 AM,DIK,K,M,BACHELOR,END,,
1/8/11,DAVID,9:37:50 AM,DRA,K,M,BACHELOR,START,,
1/8/11,DAVID,9:37:52 AM,DRA,K,M,BACHELOR,S,,
1/8/11,DAVID,9:38:25 AM,DRA,K,M,BACHELOR,,G2,QUA
1/8/11,DAVID,9:39:26 AM,DRA,K,M,BACHELOR,,GZ,QUA
1/8/11,DAVID,9:39:39 AM,DRA,K,M,BACHELOR,,G1,QUA
1/8/11,DAVID,9:44:07 AM,DRA,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:44:11 AM,DRA,K,M,BACHELOR,,G2,QUA
1/8/11,DAVID,9:45:28 AM,DRA,K,M,BACHELOR,,G1,QUA
1/8/11,DAVID,9:48:27 AM,DRA,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:48:30 AM,DRA,K,M,BACHELOR,,GZ,QUA
1/8/11,DAVID,9:48:40 AM,DRA,K,M,BACHELOR,R,,
1/8/11,DAVID,9:48:50 AM,DRA,K,M,BACHELOR,,G2VG1,QUA
1/8/11,DAVID,9:49:17 AM,DRA,K,M,BACHELOR,,G3,QUA
1/8/11,DAVID,9:50:39 AM,DRA,K,M,BACHELOR,,G2,QUA
1/8/11,DAVID,9:51:15 AM,DRA,K,M,BACHELOR,,G1,QUA
1/8/11,DAVID,9:52:52 AM,DRA,K,M,BACHELOR,,G2VG1,QUA
1/8/11,DAVID,9:53:57 AM,DRA,K,M,BACHELOR,NB,,
1/8/11,DAVID,9:54:00 AM,DRA,K,M,BACHELOR,END,,
1/8/11,DAVID,9:55:56 AM,IGO,K,M,BACHELOR,START,,
1/8/11,DAVID,9:55:58 AM,IGO,K,M,BACHELOR,F,,
1/8/11,DAVID,9:57:50 AM,IGO,K,M,BACHELOR,,A2T2K1,DIK
1/8/11,DAVID,9:57:55 AM,IGO,K,M,BACHELOR,M,,
